20240102033757|13|
20240101033748|66|
20231231033811|628|
20231230033751|402|
20231229034032|3555|
20231228033718|3766|
20231227033846|2612|
20231226033739|4|
20231225033803|580|
20231224033712|5416|
20231223033827|12251|
20231222033842|2400|
20231221033922|3165|
20231219033857|6|
20231218033726|1383|
20231217033906|430|
20231216033948|3025|
20231215033908|1856|
20231214033830|1698|
20231213033808|1114|
20231211042844|52|
20231210034058|2291|
20231209033842|1140|
20231208033943|1467|
20231207033829|2407|
20231206033921|1207|
20231204033801|15|
20231203034549|2443|
20231202033957|1876|
20231201034813|11012|
20231130033842|514|
20231129033901|2466|
20231127033833|930|
20231126034026|2213|
20231125033915|1363|
20231124033750|1862|
20231123033859|2216|
20231122034032|1853|
20231121033751|246|
20231120033821|158|
20231119033818|2130|
20231118033906|9|
20231117023002|1968|
20231117023001|701|
20231116023002|944|
20231116023001|869|
20231115023002|750|
20231115023001|1610|
20231114023002|1162|
20231114023001|929|
20231113023002|36|
20231113023001|2|
20231112023002|84|
20231112023001|28|
20231111023002|954|
20231111023001|639|
20231110023002|1044|
20231110023001|540|
20231109023002|630|
20231109023001|757|
20231108023002|1320|
20231108023001|783|
20231107023002|1064|
20231107023001|863|
20231106023001|26|
20231104023002|2168|
20231104023001|934|
20231103023002|8038|
20231103023001|771|
20231102023002|1468|
20231102023001|724|
20231101023002|1938|
20231101023001|667|
20231031023002|7586|
20231031023001|961|
20231030023001|28|
20231029023002|1600|
20231029023001|16|
20231028023002|3318|
20231028023001|562|
20231027023002|1958|
20231027023001|1022|
20231026023002|1504|
20231026023001|868|
20231025023002|1244|
20231025023001|802|
20231024023002|2486|
20231024023001|888|
20231023023001|101|
20231022023002|2048|
20231022023001|257|
20231021023002|266|
20231021023001|873|
20231020023002|94|
20231020023001|555|
20231019023002|96|
20231019023001|917|
20231018023002|948|
20231018023001|1620|
20231017023002|834|
20231017023001|878|
20231016023001|183|
20231015023001|57|
20231014023002|856|
20231014023001|668|
20231013023002|518|
20231013023001|701|
20231012023002|424|
20231012023001|1077|
20231011023002|1224|
20231011023001|581|
20231010023002|502|
20231010023001|706|
20231008023002|6|
20231008023001|117|
20231007023002|738|
20231007023001|408|
20231006023002|1562|
20231006023001|581|
20231005023002|2072|
20231005023001|481|
20231004023002|1960|
20231004023001|617|
20231003023002|1534|
20231003023001|609|
20231002023001|55|
20231001023002|2006|
20231001023001|104|
20230930023002|2096|
20230930023001|184|
20230929023002|7710|
20230929023001|382|
20230928023002|2466|
20230928023001|356|
20230927023002|2460|
20230927023001|480|
20230926023002|4182|
20230926023001|566|
20230925023001|101|
20230924023002|2318|
20230924023001|126|
20230923023002|3056|
20230923023001|731|
20230922023002|2194|
20230922023001|753|
20230921023002|1862|
20230921023001|732|
20230920023002|1738|
20230920023001|606|
20230919023002|1010|
20230919023001|238|
